code,que_num,country,sub_other,question
NA,NA,NA,NA,Date submitted
NA,NA,NA,NA,Last page
NA,NA,NA,NA,Start language
NA,NA,NA,NA,Date started
socio,1,,NA,In which country do you work?
rse,1,,NA,Do you write software for academic research as part of your job
edu,1,qde,NA,What is the highest level of education you have attained?
edu,1,qnl,NA,What is the highest level of education you have attained?
edu,1,qus,NA,What is the highest level of education you have attained?
edu,1,quk,NA,What is the highest level of education you have attained?
edu,1,qnzl,NA,What is the highest level of education you have attained?
edu,1,qcan,NA,What is the highest level of education you have attained?
edu,1,qaus,NA,What is the highest level of education you have attained?
edu,1,qnord,NA,What is the highest level of education you have attained?
edu,1,qworld,NA,What is the highest level of education you have attained?
edu,2,,NA,In which discipline is your highest academic qualification?
edu,2,qaus,NA,In which discipline is your highest academic qualification?
edu,4,,NA,List any professional qualifications you hold (eg
rse,4,de,NA,Does the majority of your role comprise leading a group of software developers or RSEs?
rse,3,,NA,Who uses the code that you write?
soft,2,can,NA,Do you consider yourself a professional software developer?
soft,1,can,NA,How many years of software development experience do you have?
time,1,can,NA,"On average, how much of your time is spent developing software?"
time,2,can,NA,"On average, how much of your time is spent on research"
time,3,can,NA,"On average, how much of your time is spent on management"
time,4,can,NA,"On average, how much of your time is spent on teaching"
time,5,can,NA,"On average, how much of your time is spent on other activities"
timeLike,6,zaf,NA,"In an average month, how much time would you like to spend on software development?"
timeLike,7,zaf,NA,"In an average month, how much time would you like to spend on research"
timeLike,8,zaf,NA,"In an average month, how much time would you like to spend on management"
timeLike,9,zaf,NA,"In an average month, how much time would you like to spend on teaching"
timeLike,10,zaf,NA,"In an average month, how much time would you like to spend on other activities"
currentEmp,1,,NA,Please select your organization type
currentEmp,1,,[other],Please select your organization type
currentEmp,1,qde,NA,Please select your organization type
currentEmp,1,qde,[other],Please select your organization type
currentEmp,1,nl,NA,Please select your organization type
currentEmp,1,nl,[other],Please select your organization type
currentEmp,20,deqde,NA,Which Fraunhofer institute do you work for?
currentEmp,20,deqde,[other],Which Fraunhofer institute do you work for?
currentEmp,21,deqde,NA,Which Helmholtz institute do you work for?
currentEmp,22,deqde,NA,Which Leibniz institute do you work for?
currentEmp,23,deqde,NA,Which Max-Planck institute do you work for?
currentEmp,23,deqde,[other],Which Max-Planck institute do you work for?
currentEmp,24,deqde,NA,Which University of Applied Sciences do you work for?
currentEmp,20,qus,NA,Which national laboratory do you work for?
currentEmp,20,qus,[other],Which national laboratory do you work for?
currentEmp,5,,NA,What is your official job title?
currentEmp,6,,NA,Are you known in your group by a different job title?
currentEmp,60,,NA,Please enter the job title you use
currentEmp,12,,NA,Do you work full time or part time
currentEmp,9,,NA,When did you start your current position?
currentEmp,10,,NA,What is the nature of your current employment?
currentEmp,11,,NA,What is the expected duration (in years) of your current position (in total)?
currentEmp,13,,NA,Please select the discipline in which you work
currentEmp,13,aus,NA,Please select the discipline in which you work
prevEmp,1,,NA,Where was your previous job based?
prevEmp,1,,[other],Where was your previous job based?
prevEmp,1,qde,[other],Where was your previous job based?
prevEmp,2,,NA,Rank the following factors dependent on how strongly they influenced your decision to accept your current position
currentWork,1,,NA,"Do you always work with the same researchers, or do you regularly change the researchers you work with?"
currentWork,2,,NA,Are you part of a dedicated research software group within your institution?
